Incidencia de notas nas Listas de Aproveitamento digitadas (Parâmetros: 20212,    ,    , 238,        );;;;;;;;;;;;;;;;;;;;;;;;;;
semestre;centroDoDepartamento;nomeDoCentro;departamento;nomeDoDepartamento_Campus;turmaDoCurso;disciplina;nomeDaDisciplina;HorasAulas;qtdeNota10,0;qtdeNota9,5_9,0;qtdeNota8,5_8,0;qtdeNota7,5_7,0;qtdeNota6,5_6,0;qtdeNota5,5_5,0;qtdeNota4,5_4,0;qtdeNota3,5_3,0;qtdeNota2,5_2,0;qtdeNota1,5_0,5;nota0_FS;nota0_FI; qtdeDeAlunosDaTurmaComNotas;mencaoI; Aprovados;Reprovados_FS;Reprovados_FI;
20212; CDS ; Desportos                                                    ; EFC ; (Coordenação de Educação Fisica Curricular)                  ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EFC5556 ; Natação Mista: Iniciação                                                                             ;72;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CED ; Ciências da Educação                                         ; CIN ; Ciência da Informação                                        ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; CIN7139 ; Introdução às Tecnologias da Informação e Comunicação                                                ;36;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CED ; Ciências da Educação                                         ; CIN ; Ciência da Informação                                        ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; CIN7945 ; Fontes de Informação Tecnológica                                                                     ;36;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0; 
20212; CFH ; Filosofia e Ciências Humanas                                 ; PSI ; Psicologia                                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; PSI7002 ; Psicologia Organizacional                                                                            ;72;5;0;0;0;0;0;0;0;0;0;0;1;6;0;5;0;1; 
20212; CFH ; Filosofia e Ciências Humanas                                 ; PSI ; Psicologia                                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; PSI7204 ; Psicologia e Atenção à Saúde I                                                                       ;36;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CFH ; Filosofia e Ciências Humanas                                 ; SPO ; Sociologia e Ciência Política                                ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; SPO7003 ; Sociologia Aplicada                                                                                  ;36;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;0;1; 
20212; CFM ; Ciências Físicas e Matemáticas                               ; MTM ; Matemática                                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; MTM3100 ; Pré-Cálculo                                                                                          ;72;0;0;0;1;0;0;0;0;0;1;0;0;2;0;1;1;0; 
20212; CFM ; Ciências Físicas e Matemáticas                               ; MTM ; Matemática                                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; MTM3561 ; Matemática Financeira                                                                                ;72;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1; 
20212; CSE ; Sócio-Econômico                                              ; CAD ; Ciências da Administração                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; CAD5103 ; Administração I                                                                                      ;72;6;14;4;4;2;0;0;0;1;1;5;1;38;0;30;7;1; 
20212; CSE ; Sócio-Econômico                                              ; CAD ; Ciências da Administração                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; CAD5240 ; Aspectos Comportamentais do Empreendedor                                                             ;36;27;4;1;1;2;0;0;0;0;0;0;8;43;0;35;0;8; 
20212; CSE ; Sócio-Econômico                                              ; CAD ; Ciências da Administração                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; CAD7001 ; Introdução a Administração                                                                           ;72;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CSE ; Sócio-Econômico                                              ; CAD ; Ciências da Administração                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; CAD7105 ; Formação Profissional Sustentabilidade, Responsabilidade Social Corporativa (RSC) e Ética  Empres.   ;72;0;0;1;0;0;0;0;0;0;0;0;1;2;0;1;0;1; 
20212; CSE ; Sócio-Econômico                                              ; CAD ; Ciências da Administração                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; CAD7226 ; Processo Decisório                                                                                   ;72;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5001 ; Fundamentos de Gestão do Conhecimento                                                                ;72;0;0;2;0;0;0;0;0;0;0;1;0;3;0;2;1;0; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5009 ; Geração de Idéias e Criatividade em Informática                                                      ;54;9;11;5;3;3;0;0;0;0;0;0;4;35;0;31;0;4; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5010 ; Plano de Negócios em Informática                                                                     ;36;15;15;0;0;0;0;0;0;0;0;0;2;32;0;30;0;2; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5015 ; Teoria Geral de Sistemas                                                                             ;72;9;27;3;0;1;0;0;0;0;0;0;6;46;0;40;0;6; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5016 ; Planejamento de Sistemas de Informação e Conhecimento                                                ;36;0;5;3;1;1;0;0;0;0;1;0;1;12;0;10;1;1; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5017 ; Comércio Eletrônico                                                                                  ;72;0;0;0;2;0;0;0;0;0;0;0;1;3;0;2;0;1; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5018 ; Introdução a Gestão da Inovação                                                                      ;72;0;9;3;1;2;0;0;0;0;0;0;1;16;0;15;0;1; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5020 ; Redes Sociais e Virtuais                                                                             ;72;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5028 ; Habitats de Inovação                                                                                 ;72;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5029 ; Gestão da Sustentabilidade                                                                           ;36;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CTC ; Tecnológico                                                  ; EGC ; Engenharia do Conhecimento                                   ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EGC5036 ; Marketing Pessoal e Empreendedorismo                                                                 ;36;23;0;0;1;3;0;0;0;0;0;0;10;37;0;27;0;10; 
20212; CTC ; Tecnológico                                                  ; EPS ; Engenharia de Produção e Sistemas                            ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; EPS5211 ; Programação Econômica e Financeira                                                                   ;54;2;9;14;7;2;0;0;0;1;0;0;14;49;0;34;1;14; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5401 ; Introdução à Computação                                                                              ;36;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5402 ; Programação Orientada a Objetos I                                                                    ;108;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5404 ; Programação Orientada a Objetos II                                                                   ;108;0;0;0;0;1;0;0;0;0;0;0;1;2;0;1;0;1; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5407 ; Ciência, Tecnologia e Sociedade                                                                      ;54;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5413 ; Grafos                                                                                               ;72;0;0;1;1;2;0;0;0;0;0;0;1;5;0;4;0;1; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5416 ; Paradigmas de Programação                                                                            ;90;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5423 ; Banco de Dados I                                                                                     ;72;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;1;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5429 ; Segurança em Computação                                                                              ;72;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;0;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5443 ; Reconhecimento de Padrões                                                                            ;72;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5454 ; Tópicos Especiais em Gerência de Dados                                                               ;72;0;1;4;3;0;0;0;0;0;0;0;1;9;0;8;0;1; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5458 ; Tecnologias Blockchain e Criptomoedas                                                                ;72;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;1; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5600 ; Bancos de Dados III                                                                                  ;36;0;10;9;3;1;0;0;0;0;0;0;1;24;0;23;0;1; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5601 ; Fundamentos Matemáticos da Informática                                                               ;72;2;12;6;11;4;1;0;0;0;0;0;9;45;0;35;1;9; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5602 ; Introdução à Informática                                                                             ;72;1;2;15;17;0;1;0;0;1;0;0;10;47;0;35;2;10; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5603 ; Introdução à Programação Orientada a Objetos                                                         ;108;2;16;11;6;5;1;0;0;0;0;1;9;51;0;40;2;9; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5605 ; Desenvolvimento de Sistemas Orientados a Objetos I                                                   ;108;2;10;3;2;4;1;0;1;1;3;1;10;38;0;21;7;10; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5606 ; Probabilidade e Estatística                                                                          ;72;1;8;10;6;4;0;0;0;0;0;0;10;39;0;29;0;10; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5607 ; Organização e Arquitetura de Computadores                                                            ;72;3;7;5;3;6;1;0;1;4;4;3;1;38;0;24;13;1; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5608 ; Análise e Projeto de Sistemas                                                                        ;72;0;1;2;9;18;2;1;0;1;0;1;1;36;0;30;5;1; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5609 ; Estruturas de Dados                                                                                  ;108;2;7;6;7;3;0;1;0;0;0;0;5;31;0;25;1;5; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5611 ; Sistemas Operacionais                                                                                ;72;0;4;3;10;8;0;1;0;1;1;0;4;32;0;25;3;4; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5613 ; Bancos de Dados I                                                                                    ;72;0;2;8;14;5;0;0;0;1;0;0;3;33;0;29;1;3; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5614 ; Engenharia de Software                                                                               ;72;0;1;2;4;8;0;2;0;0;0;0;2;19;0;15;2;2; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5615 ; Redes de Computadores                                                                                ;72;0;5;3;7;5;0;1;0;0;0;0;3;24;0;20;1;3; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5616 ; Bancos de Dados II                                                                                   ;72;0;7;11;3;2;0;0;0;0;0;0;4;27;0;23;0;4; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5617 ; Gerência de Projetos                                                                                 ;72;0;3;15;3;0;0;0;0;0;0;0;0;21;0;21;0;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5619 ; Administração e Gerência de Redes de Computadores                                                    ;72;0;2;8;9;9;3;0;0;1;2;0;6;40;0;28;6;6; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5621 ; Informática e Sociedade                                                                              ;36;1;5;7;6;1;0;0;0;2;1;0;2;25;0;20;3;2; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5622 ; Introdução a Compiladores                                                                            ;72;0;6;7;3;7;0;0;3;0;4;0;2;32;0;23;7;2; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5624 ; Engenharia de Usabilidade                                                                            ;72;7;8;3;5;5;1;0;0;0;0;0;4;33;0;28;1;4; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5625 ; Computação Distribuída                                                                               ;72;0;6;6;2;0;2;0;0;0;0;0;0;16;0;14;2;0; 
20212; CTC ; Tecnológico                                                  ; INE ; Informática e Estatística                                    ; SISTEMAS DE INFORMAÇÃO (noturno)                                                                                                                                                                                                                           ; INE5631 ; Projetos I                                                                                           ;144;1;6;6;4;0;0;0;0;0;0;15;0;32;0;17;15;0; 
